experiment_id,phase,model_name,model_id,params_billions,quantization,model_family,dataset,task_type,prompting_technique,technique_category,num_samples,accuracy
p1_qwen15b_sst2_fscot,1_sst2,qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,1.5,none,Qwen2.5,sst2,sentiment_binary,scaling_few_shot_cot_sst2,few_shot_cot,200,0.812
p1_qwen15b_sst2_role,1_sst2,qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,1.5,none,Qwen2.5,sst2,sentiment_binary,scaling_role_expert_sst2,role_expert,200,0.92
p1_smollm17b_sst2_zero,1_sst2,smollm-1.7b,HuggingFaceTB/SmolLM-1.7B-Instruct,1.7,none,SmolLM,sst2,sentiment_binary,scaling_zero_shot_sst2,zero_shot,200,0.835
p1_smollm17b_sst2_few,1_sst2,smollm-1.7b,HuggingFaceTB/SmolLM-1.7B-Instruct,1.7,none,SmolLM,sst2,sentiment_binary,scaling_few_shot_sst2,few_shot,200,0.609
p1_smollm17b_sst2_cot,1_sst2,smollm-1.7b,HuggingFaceTB/SmolLM-1.7B-Instruct,1.7,none,SmolLM,sst2,sentiment_binary,scaling_cot_sst2,cot,200,0.74
p1_smollm17b_sst2_fscot,1_sst2,smollm-1.7b,HuggingFaceTB/SmolLM-1.7B-Instruct,1.7,none,SmolLM,sst2,sentiment_binary,scaling_few_shot_cot_sst2,few_shot_cot,200,0.23
p1_smollm17b_sst2_role,1_sst2,smollm-1.7b,HuggingFaceTB/SmolLM-1.7B-Instruct,1.7,none,SmolLM,sst2,sentiment_binary,scaling_role_expert_sst2,role_expert,200,0.795
p1_qwen3b_sst2_zero,1_sst2,qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,3,none,Qwen2.5,sst2,sentiment_binary,scaling_zero_shot_sst2,zero_shot,200,0.915
p1_qwen3b_sst2_few,1_sst2,qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,3,none,Qwen2.5,sst2,sentiment_binary,scaling_few_shot_sst2,few_shot,200,0.914
p1_qwen3b_sst2_cot,1_sst2,qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,3,none,Qwen2.5,sst2,sentiment_binary,scaling_cot_sst2,cot,200,0.925
p1_qwen3b_sst2_fscot,1_sst2,qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,3,none,Qwen2.5,sst2,sentiment_binary,scaling_few_shot_cot_sst2,few_shot_cot,200,0.878
p1_qwen3b_sst2_role,1_sst2,qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,3,none,Qwen2.5,sst2,sentiment_binary,scaling_role_expert_sst2,role_expert,200,0.905
p1_mistral7b_sst2_zero,1_sst2,mistral-7b-instruct,mistralai/Mistral-7B-Instruct-v0.3,7.2,4bit,Mistral,sst2,sentiment_binary,scaling_zero_shot_sst2,zero_shot,200,0.93
p1_mistral7b_sst2_few,1_sst2,mistral-7b-instruct,mistralai/Mistral-7B-Instruct-v0.3,7.2,4bit,Mistral,sst2,sentiment_binary,scaling_few_shot_sst2,few_shot,200,0.913
p1_mistral7b_sst2_cot,1_sst2,mistral-7b-instruct,mistralai/Mistral-7B-Instruct-v0.3,7.2,4bit,Mistral,sst2,sentiment_binary,scaling_cot_sst2,cot,200,0.94
p1_mistral7b_sst2_fscot,1_sst2,mistral-7b-instruct,mistralai/Mistral-7B-Instruct-v0.3,7.2,4bit,Mistral,sst2,sentiment_binary,scaling_few_shot_cot_sst2,few_shot_cot,200,0.898
p1_mistral7b_sst2_role,1_sst2,mistral-7b-instruct,mistralai/Mistral-7B-Instruct-v0.3,7.2,4bit,Mistral,sst2,sentiment_binary,scaling_role_expert_sst2,role_expert,200,0.92
p1_qwen7b_sst2_zero,1_sst2,qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,7.6,4bit,Qwen2.5,sst2,sentiment_binary,scaling_zero_shot_sst2,zero_shot,200,0.945
p1_qwen7b_sst2_few,1_sst2,qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,7.6,4bit,Qwen2.5,sst2,sentiment_binary,scaling_few_shot_sst2,few_shot,200,0.939
p1_qwen7b_sst2_cot,1_sst2,qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,7.6,4bit,Qwen2.5,sst2,sentiment_binary,scaling_cot_sst2,cot,200,0.955
p1_qwen7b_sst2_fscot,1_sst2,qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,7.6,4bit,Qwen2.5,sst2,sentiment_binary,scaling_few_shot_cot_sst2,few_shot_cot,200,0.939
p1_qwen7b_sst2_role,1_sst2,qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,7.6,4bit,Qwen2.5,sst2,sentiment_binary,scaling_role_expert_sst2,role_expert,200,0.915
p2_smollm360m_arc_zero,2_arc,smollm-360m,HuggingFaceTB/SmolLM-360M-Instruct,0.36,none,SmolLM,arc_challenge,science_mcq,scaling_zero_shot_arc,zero_shot,200,0.22
p2_smollm360m_arc_few,2_arc,smollm-360m,HuggingFaceTB/SmolLM-360M-Instruct,0.36,none,SmolLM,arc_challenge,science_mcq,scaling_few_shot_arc,few_shot,200,0.238
p2_smollm360m_arc_cot,2_arc,smollm-360m,HuggingFaceTB/SmolLM-360M-Instruct,0.36,none,SmolLM,arc_challenge,science_mcq,scaling_cot_arc,cot,200,0.16
p2_smollm360m_arc_fscot,2_arc,smollm-360m,HuggingFaceTB/SmolLM-360M-Instruct,0.36,none,SmolLM,arc_challenge,science_mcq,scaling_few_shot_cot_arc,few_shot_cot,200,0.233
p2_smollm360m_arc_role,2_arc,smollm-360m,HuggingFaceTB/SmolLM-360M-Instruct,0.36,none,SmolLM,arc_challenge,science_mcq,scaling_role_expert_arc,role_expert,200,0.23
p2_qwen05b_arc_zero,2_arc,qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,0.5,none,Qwen2.5,arc_challenge,science_mcq,scaling_zero_shot_arc,zero_shot,200,0.38
p2_qwen05b_arc_few,2_arc,qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,0.5,none,Qwen2.5,arc_challenge,science_mcq,scaling_few_shot_arc,few_shot,200,0.416
p2_qwen05b_arc_cot,2_arc,qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,0.5,none,Qwen2.5,arc_challenge,science_mcq,scaling_cot_arc,cot,200,0.42
p2_qwen05b_arc_fscot,2_arc,qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,0.5,none,Qwen2.5,arc_challenge,science_mcq,scaling_few_shot_cot_arc,few_shot_cot,200,0.411
p2_qwen05b_arc_role,2_arc,qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,0.5,none,Qwen2.5,arc_challenge,science_mcq,scaling_role_expert_arc,role_expert,200,0.365
p2_tinyllama_arc_zero,2_arc,tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,none,TinyLlama,arc_challenge,science_mcq,scaling_zero_shot_arc,zero_shot,200,0.2
p2_tinyllama_arc_few,2_arc,tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,none,TinyLlama,arc_challenge,science_mcq,scaling_few_shot_arc,few_shot,200,0.213
p2_tinyllama_arc_cot,2_arc,tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,none,TinyLlama,arc_challenge,science_mcq,scaling_cot_arc,cot,200,0.005
p2_tinyllama_arc_fscot,2_arc,tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,none,TinyLlama,arc_challenge,science_mcq,scaling_few_shot_cot_arc,few_shot_cot,200,0.06
p2_tinyllama_arc_role,2_arc,tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,none,TinyLlama,arc_challenge,science_mcq,scaling_role_expert_arc,role_expert,200,0.005
p2_qwen15b_arc_zero,2_arc,qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,1.5,none,Qwen2.5,arc_challenge,science_mcq,scaling_zero_shot_arc,zero_shot,200,0.7
p2_qwen15b_arc_few,2_arc,qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,1.5,none,Qwen2.5,arc_challenge,science_mcq,scaling_few_shot_arc,few_shot,200,0.72
p2_qwen15b_arc_cot,2_arc,qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,1.5,none,Qwen2.5,arc_challenge,science_mcq,scaling_cot_arc,cot,200,0.695
p2_qwen15b_arc_fscot,2_arc,qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,1.5,none,Qwen2.5,arc_challenge,science_mcq,scaling_few_shot_cot_arc,few_shot_cot,200,0.71
p2_qwen15b_arc_role,2_arc,qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,1.5,none,Qwen2.5,arc_challenge,science_mcq,scaling_role_expert_arc,role_expert,200,0.72
p2_smollm17b_arc_zero,2_arc,smollm-1.7b,HuggingFaceTB/SmolLM-1.7B-Instruct,1.7,none,SmolLM,arc_challenge,science_mcq,scaling_zero_shot_arc,zero_shot,200,0.175
p2_smollm17b_arc_few,2_arc,smollm-1.7b,HuggingFaceTB/SmolLM-1.7B-Instruct,1.7,none,SmolLM,arc_challenge,science_mcq,scaling_few_shot_arc,few_shot,200,0.04
p2_smollm17b_arc_cot,2_arc,smollm-1.7b,HuggingFaceTB/SmolLM-1.7B-Instruct,1.7,none,SmolLM,arc_challenge,science_mcq,scaling_cot_arc,cot,200,0.22
p2_smollm17b_arc_fscot,2_arc,smollm-1.7b,HuggingFaceTB/SmolLM-1.7B-Instruct,1.7,none,SmolLM,arc_challenge,science_mcq,scaling_few_shot_cot_arc,few_shot_cot,200,0.197
p2_smollm17b_arc_role,2_arc,smollm-1.7b,HuggingFaceTB/SmolLM-1.7B-Instruct,1.7,none,SmolLM,arc_challenge,science_mcq,scaling_role_expert_arc,role_expert,200,0.18
p2_qwen3b_arc_zero,2_arc,qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,3,none,Qwen2.5,arc_challenge,science_mcq,scaling_zero_shot_arc,zero_shot,200,0.84
p2_qwen3b_arc_few,2_arc,qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,3,none,Qwen2.5,arc_challenge,science_mcq,scaling_few_shot_arc,few_shot,200,0.842
p2_qwen3b_arc_cot,2_arc,qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,3,none,Qwen2.5,arc_challenge,science_mcq,scaling_cot_arc,cot,200,0.805
p2_qwen3b_arc_fscot,2_arc,qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,3,none,Qwen2.5,arc_challenge,science_mcq,scaling_few_shot_cot_arc,few_shot_cot,200,0.848
p2_qwen3b_arc_role,2_arc,qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,3,none,Qwen2.5,arc_challenge,science_mcq,scaling_role_expert_arc,role_expert,200,0.835
p2_mistral7b_arc_zero,2_arc,mistral-7b-instruct,mistralai/Mistral-7B-Instruct-v0.3,7.2,4bit,Mistral,arc_challenge,science_mcq,scaling_zero_shot_arc,zero_shot,200,0.76
p2_mistral7b_arc_few,2_arc,mistral-7b-instruct,mistralai/Mistral-7B-Instruct-v0.3,7.2,4bit,Mistral,arc_challenge,science_mcq,scaling_few_shot_arc,few_shot,200,0.67
p2_mistral7b_arc_cot,2_arc,mistral-7b-instruct,mistralai/Mistral-7B-Instruct-v0.3,7.2,4bit,Mistral,arc_challenge,science_mcq,scaling_cot_arc,cot,200,0.76
p2_mistral7b_arc_fscot,2_arc,mistral-7b-instruct,mistralai/Mistral-7B-Instruct-v0.3,7.2,4bit,Mistral,arc_challenge,science_mcq,scaling_few_shot_cot_arc,few_shot_cot,200,0.756
p2_mistral7b_arc_role,2_arc,mistral-7b-instruct,mistralai/Mistral-7B-Instruct-v0.3,7.2,4bit,Mistral,arc_challenge,science_mcq,scaling_role_expert_arc,role_expert,200,0.765
p2_qwen7b_arc_zero,2_arc,qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,7.6,4bit,Qwen2.5,arc_challenge,science_mcq,scaling_zero_shot_arc,zero_shot,200,0.91
p2_qwen7b_arc_few,2_arc,qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,7.6,4bit,Qwen2.5,arc_challenge,science_mcq,scaling_few_shot_arc,few_shot,200,0.883
p2_qwen7b_arc_cot,2_arc,qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,7.6,4bit,Qwen2.5,arc_challenge,science_mcq,scaling_cot_arc,cot,200,0.925
p2_qwen7b_arc_fscot,2_arc,qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,7.6,4bit,Qwen2.5,arc_challenge,science_mcq,scaling_few_shot_cot_arc,few_shot_cot,200,0.913
p2_qwen7b_arc_role,2_arc,qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,7.6,4bit,Qwen2.5,arc_challenge,science_mcq,scaling_role_expert_arc,role_expert,200,0.9
p5_smollm360m_mmlu_zero,5_mmlu,smollm-360m,HuggingFaceTB/SmolLM-360M-Instruct,0.36,none,SmolLM,mmlu,knowledge_mcq,scaling_zero_shot_arc,zero_shot,200,0.005
p5_smollm360m_mmlu_few,5_mmlu,smollm-360m,HuggingFaceTB/SmolLM-360M-Instruct,0.36,none,SmolLM,mmlu,knowledge_mcq,scaling_few_shot_arc,few_shot,200,0.177
p5_smollm360m_mmlu_cot,5_mmlu,smollm-360m,HuggingFaceTB/SmolLM-360M-Instruct,0.36,none,SmolLM,mmlu,knowledge_mcq,scaling_cot_arc,cot,200,0.015
p5_qwen05b_mmlu_zero,5_mmlu,qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,0.5,none,Qwen2.5,mmlu,knowledge_mcq,scaling_zero_shot_arc,zero_shot,200,0.12
p5_qwen05b_mmlu_few,5_mmlu,qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,0.5,none,Qwen2.5,mmlu,knowledge_mcq,scaling_few_shot_arc,few_shot,200,0.238
p5_qwen05b_mmlu_cot,5_mmlu,qwen2.5-0.5b,Qwen/Qwen2.5-0.5B-Instruct,0.5,none,Qwen2.5,mmlu,knowledge_mcq,scaling_cot_arc,cot,200,0.25
p5_tinyllama_mmlu_zero,5_mmlu,tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,none,TinyLlama,mmlu,knowledge_mcq,scaling_zero_shot_arc,zero_shot,200,0.105
p5_tinyllama_mmlu_few,5_mmlu,tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,none,TinyLlama,mmlu,knowledge_mcq,scaling_few_shot_arc,few_shot,200,0.131
p5_tinyllama_mmlu_cot,5_mmlu,tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,none,TinyLlama,mmlu,knowledge_mcq,scaling_cot_arc,cot,200,0.005
p5_qwen15b_mmlu_zero,5_mmlu,qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,1.5,none,Qwen2.5,mmlu,knowledge_mcq,scaling_zero_shot_arc,zero_shot,200,0.245
p5_qwen15b_mmlu_few,5_mmlu,qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,1.5,none,Qwen2.5,mmlu,knowledge_mcq,scaling_few_shot_arc,few_shot,200,0.269
p5_qwen15b_mmlu_cot,5_mmlu,qwen2.5-1.5b,Qwen/Qwen2.5-1.5B-Instruct,1.5,none,Qwen2.5,mmlu,knowledge_mcq,scaling_cot_arc,cot,200,0.26
p5_smollm17b_mmlu_zero,5_mmlu,smollm-1.7b,HuggingFaceTB/SmolLM-1.7B-Instruct,1.7,none,SmolLM,mmlu,knowledge_mcq,scaling_zero_shot_arc,zero_shot,200,0.075
p5_smollm17b_mmlu_few,5_mmlu,smollm-1.7b,HuggingFaceTB/SmolLM-1.7B-Instruct,1.7,none,SmolLM,mmlu,knowledge_mcq,scaling_few_shot_arc,few_shot,200,0.01
p5_smollm17b_mmlu_cot,5_mmlu,smollm-1.7b,HuggingFaceTB/SmolLM-1.7B-Instruct,1.7,none,SmolLM,mmlu,knowledge_mcq,scaling_cot_arc,cot,200,0.05
p5_qwen3b_mmlu_zero,5_mmlu,qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,3,none,Qwen2.5,mmlu,knowledge_mcq,scaling_zero_shot_arc,zero_shot,200,0.17
p5_qwen3b_mmlu_few,5_mmlu,qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,3,none,Qwen2.5,mmlu,knowledge_mcq,scaling_few_shot_arc,few_shot,200,0.182
p5_qwen3b_mmlu_cot,5_mmlu,qwen2.5-3b,Qwen/Qwen2.5-3B-Instruct,3,none,Qwen2.5,mmlu,knowledge_mcq,scaling_cot_arc,cot,200,0.21
p5_qwen7b_mmlu_zero,5_mmlu,qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,7.6,4bit,Qwen2.5,mmlu,knowledge_mcq,scaling_zero_shot_arc,zero_shot,200,0.22
p5_qwen7b_mmlu_few,5_mmlu,qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,7.6,4bit,Qwen2.5,mmlu,knowledge_mcq,scaling_few_shot_arc,few_shot,200,0.228
p5_qwen7b_mmlu_cot,5_mmlu,qwen2.5-7b,Qwen/Qwen2.5-7B-Instruct,7.6,4bit,Qwen2.5,mmlu,knowledge_mcq,scaling_cot_arc,cot,200,0.16
